name	nr	cropid	reg	resn	resday	resdown	resfast	up1	up2	up3	upupper	pnupr	bd1	bd2	bd3	ccmax1	gcmax1
Grass	1	1	40	59	290	0.3	0.8	15	1	0.03	0.3	0.2	0	75	310	0.9	0.7
Forest	2	2	40	40	276	0.3	0.1	4.6	1	0.018	0.3	0.2	0	121	275	0.95	0.9
D0	3	3	40	137	0	0.3	0.1	0	0	0	0	0.2	0	0	0	0	0
D1	4	4	40	110	0	0.3	0.1	0	0	0	0	0.2	0	0	0	0	0
D2	5	5	40	87	0	0.3	0.1	0	0	0	0	0.2	0	0	0	0	0
D3	6	6	40	63	0	0.3	0.1	0	0	0	0	0.2	0	0	0	0	0
DR4	7	7	40	40	0	0.3	0.1	1.8	1	0.018	0.3	0.2	0	121	275	0.95	0.9
DR5	8	8	40	22	0	0.3	0.1	1.8	1	0.018	0.3	0.2	0	121	275	0.95	0.9
DR6	9	9	40	12	0	0.3	0.1	1.8	1	0.018	0.3	0.2	0	121	275	0.95	0.9
DR7	10	10	40	6	0	0.3	0.1	1.8	1	0.018	0.3	0.2	0	121	275	0.95	0.9
