! 有一处湖泊_83													
!LANDUSE 1=Build-up-area 2=Clear-cut area 3=Coniferous stand 4=Deciduous stand 5=Dead wood 6=Meadow 													
!7=Mixed stand 8=Water body 9=dead0yr 10=dead1yr 11=dead23yr 12=dead4yr 13=dead56yr 14=dead78yr 15=dead912yr 16=dead13yr 													
!SOILS 1=Block, humus, soil,Rock, clay, mosaic 2=Clay 3=Block 4=Bog 5=Moraine 6=water body													
! CROP 1=Grass 2=Normal forest 3=dead0yr 4=dead1-3yr 5=dead4yr 6=dead5-15yr													
! Vegetation type 1=open 2=forest 3=water													
!combination	Landuse	Soil	cropid-main	cropid-2nd	crop-rotation	vegetationstyp	special-class-code	tile-depth	drain-depth	#soil-layers	depth1	depth2	depth3
1	1	1	0	0	0	1	0	0	1	1	0.05		
2	1	2	0	0	0	1	0	0	1	1	0.05		
3	1	3	0	0	0	1	0	0	1	1	0.15		
4	1	4	0	0	0	1	0	0	1	1	0.05		
5	1	5	0	0	0	1	0	0	1	1	0.05		
6	1	6	0	0	0	1	0	0	1	1	1		
7	2	1	1	0	0	1	0	0	1	3	0.3	1	1.5
8	2	2	1	0	0	1	0	0	1	3	0.2	1	1.5
9	2	3	1	0	0	1	0	0	1	1	0.15		
10	2	4	1	0	0	1	0	0	1	3	0.3	1	1.5
11	2	5	1	0	0	1	0	0	1	3	0.5	1	1.5
12	2	6	1	0	0	1	0	0	1	1	1		
13	3	1	2	0	0	2	0	0	1	3	0.15	1	1.5
14	3	2	2	0	0	2	0	0	1	3	0.1	0.6	1.5
15	3	3	2	0	0	2	0	0	1	1	0.15		
16	3	4	2	0	0	2	0	0	1	3	0.3	1	1.5
17	3	5	2	0	0	2	0	0	1	3	0.5	1	1.5
18	3	6	2	0	0	2	0	0	1	1	1		
19	4	1	2	0	0	2	0	0	1	3	0.3	1	1.5
20	4	2	2	0	0	2	0	0	1	3	0.3	0.9	1.5
21	4	3	2	0	0	2	0	0	1	1	0.15		
22	4	4	2	0	0	2	0	0	1	3	0.3	1	1.5
23	4	5	2	0	0	2	0	0	1	3	0.5	1	1.5
24	4	6	2	0	0	2	0	0	1	1	1		
25	5	1	1	0	0	1	0	0	1	3	0.3	1	1.5
26	5	2	1	0	0	1	0	0	1	3	0.2	1	1.5
27	5	3	1	0	0	1	0	0	1	1	0.15		
28	5	4	1	0	0	1	0	0	1	3	0.3	1	1.5
29	5	5	1	0	0	1	0	0	1	3	0.5	1	1.5
30	5	6	1	0	0	1	0	0	1	1	1		
31	6	1	1	0	0	1	0	0	1	3	0.3	1	1.5
32	6	2	1	0	0	1	0	0	1	3	0.2	1	1.5
33	6	3	1	0	0	1	0	0	1	1	0.15		
34	6	4	1	0	0	1	0	0	1	3	0.3	1	1.5
35	6	5	1	0	0	1	0	0	1	3	0.5	1	1.5
36	6	6	1	0	0	1	0	0	1	3	0.3	1	1.5
37	7	1	2	0	0	2	0	0	1	3	0.15	1	1.5
38	7	2	2	0	0	2	0	0	1	3	0.3	0.6	1.5
39	7	3	2	0	0	2	0	0	1	1	0.15		
40	7	4	2	0	0	2	0	0	1	3	0.3	1	1.5
41	7	5	2	0	0	2	0	0	1	3	0.5	1	1.5
42	7	6	2	0	0	2	0	0	1	1	1		
43	8	1	0	0	0	1	0	0	1	1	0.15		
44	8	2	0	0	0	3	0	0	1	1	1		
45	8	3	0	0	0	1	0	0	1	1	0.15		
46	8	4	0	0	0	3	0	0	1	1	1		
47	8	5	0	0	0	3	0	0	1	1	1		
48	8	6	0	0	0	3	2	0	1	1	0.1		
49	9	1	3	0	0	2	0	0	1	3	0.15	1	1.5
50	9	2	3	0	0	2	0	0	1	3	0.1	0.6	1.5
51	9	3	3	0	0	2	0	0	1	1	0.15		
52	9	4	3	0	0	2	0	0	1	3	0.3	1	1.5
53	9	5	3	0	0	2	0	0	1	3	0.5	1	1.5
54	10	1	4	0	0	2	0	0	1	3	0.15	1	1.5
55	10	2	4	0	0	2	0	0	1	3	0.1	0.6	1.5
56	10	3	4	0	0	2	0	0	1	1	0.15		
57	10	4	4	0	0	2	0	0	1	3	0.3	1	1.5
58	10	5	4	0	0	2	0	0	1	3	0.5	1	1.5
59	11	1	5	0	0	2	0	0	1	3	0.15	1	1.5
60	11	2	5	0	0	2	0	0	1	3	0.1	0.6	1.5
61	11	3	5	0	0	2	0	0	1	1	0.15		
62	11	4	5	0	0	2	0	0	1	3	0.3	1	1.5
63	11	5	5	0	0	2	0	0	1	3	0.5	1	1.5
64	12	1	6	0	0	2	0	0	1	3	0.15	1	1.5
65	12	2	6	0	0	2	0	0	1	3	0.1	0.6	1.5
66	12	3	6	0	0	2	0	0	1	1	0.15		
67	12	4	6	0	0	2	0	0	1	3	0.3	1	1.5
68	12	5	6	0	0	2	0	0	1	3	0.5	1	1.5
69	13	1	7	0	0	2	0	0	1	3	0.15	1	1.5
70	13	2	7	0	0	2	0	0	1	3	0.1	0.6	1.5
71	13	3	7	0	0	2	0	0	1	1	0.15		
72	13	4	7	0	0	2	0	0	1	3	0.3	1	1.5
73	13	5	7	0	0	2	0	0	1	3	0.5	1	1.5
74	14	1	8	0	0	2	0	0	1	3	0.15	1	1.5
75	14	2	8	0	0	2	0	0	1	3	0.1	0.6	1.5
76	14	3	8	0	0	2	0	0	1	1	0.15		
77	14	4	8	0	0	2	0	0	1	3	0.3	1	1.5
78	14	5	8	0	0	2	0	0	1	3	0.5	1	1.5
79	15	1	9	0	0	2	0	0	1	3	0.15	1	1.5
80	15	2	9	0	0	2	0	0	1	3	0.1	0.6	1.5
81	15	3	9	0	0	2	0	0	1	1	0.15		
82	15	4	9	0	0	2	0	0	1	3	0.3	1	1.5
83	15	5	9	0	0	2	0	0	1	3	0.5	1	1.5
84	16	1	10	0	0	2	0	0	1	3	0.15	1	1.5
85	16	2	10	0	0	2	0	0	1	3	0.1	0.6	1.5
86	16	3	10	0	0	2	0	0	1	1	0.15		
87	16	4	10	0	0	2	0	0	1	3	0.3	1	1.5
88	16	5	10	0	0	2	0	0	1	3	0.5	1	1.5
