NAME	AREA	SUBID	BASEDEPTH	TOPDEPTH	INIDEPTH	RECHARGE	AQUID	RETFRAC	RETRATE	DELAY	PARREG	POROSITY
none	802926	1	0	0	0	1	1	0.042379617	0	0	0	0
none	1304683	2	0	0	0	1	1	0.06886309	0	0	0	0
none	1049230	3	0	0	0	1	1	0.055379905	0	0	0	0
none	7035	4	0	0	0	1	1	0.000371318	0	0	0	0
none	353551	5	0	0	0	1	1	0.018660942	0	0	0	0
none	520681	6	0	0	0	1	1	0.02748231	0	0	0	0
none	281616	7	0	0	0	1	1	0.014864107	0	0	0	0
none	261881	8	0	0	0	1	1	0.013822465	0	0	0	0
none	308451	9	0	0	0	1	1	0.016280498	0	0	0	0
none	549108	10	0	0	0	1	1	0.028982729	0	0	0	0
none	849024	11	0	0	0	1	1	0.044812737	0	0	0	0
none	20389	12	0	0	0	1	1	0.001076161	0	0	0	0
none	527765	13	0	0	0	1	1	0.027856214	0	0	0	0
none	417586	14	0	0	0	1	1	0.022040804	0	0	0	0
none	3490	15	0	0	0	1	1	0.000184207	0	0	0	0
none	10128	16	0	0	0	1	1	0.000534571	0	0	0	0
none	613722	17	0	0	0	1	1	0.032393151	0	0	0	0
none	973834	18	0	0	0	1	1	0.051400393	0	0	0	0
none	559340	19	0	0	0	1	1	0.029522789	0	0	0	0
none	616472	20	0	0	0	1	1	0.0325383	0	0	0	0
none	755131	21	0	0	0	1	1	0.039856926	0	0	0	0
none	498681	22	0	0	0	1	1	0.026321118	0	0	0	0
none	488474	23	0	0	0	1	1	0.025782377	0	0	0	0
none	528347	24	0	0	0	1	1	0.027886933	0	0	0	0
none	528470	25	0	0	0	1	1	0.027893425	0	0	0	0
none	454429	26	0	0	0	1	1	0.023985432	0	0	0	0
none	233274	27	0	0	0	1	1	0.012312545	0	0	0	0
none	440977	28	0	0	0	1	1	0.023275416	0	0	0	0
none	381449	29	0	0	0	1	1	0.02013344	0	0	0	0
none	121306	30	0	0	0	1	1	0.006402709	0	0	0	0
none	143532	31	0	0	0	1	1	0.00757583	0	0	0	0
none	173557	32	0	0	0	1	1	0.009160594	0	0	0	0
none	613970	33	0	0	0	1	1	0.032406241	0	0	0	0
none	23423	34	0	0	0	1	1	0.0012363	0	0	0	0
none	988502	35	0	0	0	1	1	0.052174591	0	0	0	0
none	246746	36	0	0	0	1	1	0.013023617	0	0	0	0
none	287067	38	0	0	0	1	1	0.015151819	0	0	0	0
none	431451	43	0	0	0	1	1	0.022772619	0	0	0	0
none	327829	44	0	0	0	1	1	0.017303297	0	0	0	0
none	315533	40	0	0	0	1	1	0.016654296	0	0	0	0
none	145462	41	0	0	0	1	1	0.007677699	0	0	0	0
none	44409	39	0	0	0	1	1	0.002343972	0	0	0	0
none	362168	37	0	0	0	1	1	0.01911576	0	0	0	0
none	228161	42	0	0	0	1	1	0.012042674	0	0	0	0
none	152537	45	0	0	0	1	1	0.008051128	0	0	0	0
none	244	46	0	0	0	1	1	1.28787E-05	0	0	0	0
none	1	47	0	0	0	1	1	5.27815E-08	0	0	0	0
Aqu1	18946042	0	-10	-2	-5	0	1	0	0.3	730	40	0.09
