!combination	StateClass	Soilclass	Luseclass	special_code
1	1	1	1	0
2	2	2	2	0
3	3	3	3	0
4	4	4	4	0
5	5	5	5	0
6	6	6	6	0
7	7	7	7	0
8	8	8	8	0
9	9	9	9	0
10	10	10	10	0
11	11	11	11	0
12	12	12	12	0
13	13	13	13	0
14	14	14	14	0
15	15	15	15	0
16	16	16	16	0
17	17	17	17	0
18	18	18	18	0
19	19	19	19	0
20	20	20	20	0
21	21	21	21	0
22	22	22	22	0
23	23	23	23	0
24	24	24	24	0
25	25	25	25	0
26	26	26	26	0
27	27	27	27	0
28	28	28	28	0
29	29	29	29	0
30	30	30	30	0
31	31	31	31	0
32	32	32	32	0
33	33	33	33	0
34	34	34	34	0
35	35	35	35	0
36	36	36	36	0
37	37	37	37	0
38	38	38	38	0
39	39	39	39	0
40	40	40	40	0
41	41	41	41	0
42	42	42	42	0
43	43	43	43	0
44	44	44	44	0
45	45	45	45	0
46	46	46	46	0
47	47	47	47	0
48	48	48	48	2
49	49	13	79	0
50	50	14	80	0
51	51	15	81	0
52	52	16	82	0
53	53	17	83	0
54	54	13	79	0
55	55	14	80	0
56	56	15	81	0
57	57	16	82	0
58	58	17	83	0
59	59	13	74	0
60	60	14	75	0
61	61	15	76	0
62	62	16	77	0
63	63	17	78	0
64	64	13	74	0
65	65	14	75	0
66	66	15	76	0
67	67	16	77	0
68	68	17	78	0
69	69	13	69	0
70	70	14	70	0
71	71	15	71	0
72	72	16	72	0
73	73	17	73	0
74	13	13	49	0
75	14	14	50	0
76	15	15	51	0
77	16	16	52	0
78	17	17	53	0
