AREA	SUBID	MAINDOWN	ROWNR	ELEV_MEAN	SLOPE_MEAN	RIVLEN	REGION	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22	SLC_23	SLC_24	SLC_25	SLC_26	SLC_27	SLC_28	SLC_29	SLC_30	SLC_31	SLC_32	SLC_33	SLC_34	SLC_35	SLC_36	SLC_37	SLC_38	SLC_39	SLC_40	SLC_41	SLC_42	SLC_43	SLC_44	SLC_45	SLC_46	SLC_47	SLC_48	SLC_49	SLC_50	SLC_51	SLC_52	SLC_53	SLC_54	SLC_55	SLC_56	SLC_57	SLC_58
802926	1	4	1	1177.187027	23.77026766	1194.120454	40	9.96348E-06	0	0	0	0	0	0	0	0	0	0	0	0.218868749	0.029331863	0.208308708	0.015685014	0.039763019	0.000975176	0.000180588	0.031728714	0	0	0	0.000236633	0.00404642	6.10263E-05	0.010355796	8.71805E-06	0.000809533	0	0.000174361	0	0.001878117	7.09898E-05	0	0.001067338	0.081300783	0.095069072	0.039087993	0.016671399	0.078857238	0.004192136	0	1.74361E-05	0	0	0.000198024	0.058810709	0.001656396	0.002466144	0.022316249	0	0	0.002030438	0.002336889	0.031428367	0	0
1304683	2	5	2	1173.8886	17.72456341	1160.174278	40	0	0	0	0.000338013	0.000659164	0	0	0	0.011085451	0.002003552	0	0	0	0.004094481	0.09973683	0.221650538	0.039491534	0	0	0.009258188	0.02020874	0.003434551	0.001685467	0	0	0	0.074747659	0.028015234	0.000784099	0	0	0	0.010865475	0.002104726	0	0	0.010757402	0.069402299	0.061080738	0.041564119	0.038555726	0	0	0	0	0	0.000160192	0	0	0	0.069337808	0.002419758	0.001175816	0	0	0.157938898	0.017443543	0
1049230	3	4	3	1189.194946	25.80360547	1106.848376	40	0.006014887	0	0	0	0	0	0.004931235	0.000653813	0.004405135	0.000193475	0	0	0.429663138	0.056028138	0.1413386	0.082738194	0.012486073	0	0.000178226	0.032334188	0.014011227	0.000427933	0	0	0.004579549	0.002903081	0.006252204	0.000291642	3.33578E-05	0	0.003030794	0	0.011065257	0.004096337	0.000181085	0	0.01664554	0.052876872	0.031810947	0.00735873	0.027783232	0	0	0	0	0	0	0	0.008805474	0.001586021	0.006882169	0.001016559	8.31445E-05	0.005708547	0.004068218	0.017536978	0	0
7035	4	5	4	1007.545203	19.56788986	63.426407	40	0.006538735	0	0	0	0.031982942	0	0	0	0	0	0	0	0.561478323	0.041222459	0	0.000284293	0.01862118	0	0	0	0	0	0	0	0	0	0	0.015209666	0.01862118	0	0	0	0	0	0	0	0.032267235	0	0	0.029282161	0.244491827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353551	5	12	5	1051.435416	18.70667733	902.962554	40	0.000404468	0	0	0	0.001394424	0	0	0	0	0	0	0	0.016443988	0.025220031	0.037797831	0.028374973	0.192226272	0	0	0.033502946	0.016642578	0	0.01314379	0	0	0	0.006624221	0	0.006545025	0	0.001086123	0	0.006748673	0	0.003897599	0	0.002177904	0.17550509	0.067947764	0.014425076	0.230487256	0	5.0912E-05	0	0	0	0.002573886	0	0	0	0.018608461	0	0.01189042	0.000167477	0.001890626	0.055156113	0	0.029066074
520681	6	15	6	1045.377993	22.58834406	844.575252	40	0.000119075	0.002740642	0	1.92056E-05	0.000364907	0	0	0	0	0.002364211	0	0	0.059605503	0.060718949	0.06584691	0.147392507	0.025381459	0	1.53645E-05	0.091167145	0.035849205	0.002066524	0	0	0	0	0.001200351	0	0.000418682	0	0	0	0.001123529	0	0	0	0.036319743	0.288443404	0.102792305	0.029695725	0.032492063	0	0	0	0	0	0	0	0.000727084	0.000116966	5.69022E-05	2.21286E-05	0.001868289	0.002312296	6.31775E-05	0.003489924	0	0.005205824
281616	7	10	7	1210.174399	16.96683645	200.884776	40	0	0	0	0	0	0	0	0	0.045572695	0	0	0	0.016682291	0	0.056864667	0.014374183	0	0	0	0	0	0	0	0	0	0	0.059723169	0.003068007	0	0	0	0	0	0	0	0	0.078901767	0	0.062400574	0.01379183	0	0	0	0	0	0	0	0	0	0	0.196675615	0.014651156	0	0.013010624	0	0.329160985	0.095122436	0
261881	8	12	8	1068.664781	19.26532965	255.352814	40	0	0	0	0	0	0	0	0	0	0	0	0	0.019369618	0.057190098	0.053624432	0.087860517	0.047880526	0	0.0016076	0.148044341	0.064006171	0.009175923	0.005204654	0	0	0	0.009534865	0.004246203	0.001412855	0	0	0	0.00547577	0	0	0	0.023163192	0.264200152	0.045142641	0.042828613	0.067637591	0	0	0	0	0	0	0	0.001074782	0	0.011675097	0	0	0	0	0.029644358	0	0
308451	9	10	9	1178.000697	23.17995722	56.855339	40	0	0	0	0	0	0	0	0	0.009959443	0	0	0	0.011395267	0.00216566	0.004554155	0.014018711	0	0	0	0	0	0	0	0	0.058210218	0	0.04515466	0.001705295	0	0	0.000405251	0	0.001481597	0	0	0	0.012400673	0.024392853	0.005735109	0	0	0	0	0	0	0	0	0	0.225326287	0.008173097	0.121903532	0.003377893	0	0.300916515	0.005874515	0.112241491	0.030607779	0
549108	10	19	10	1090.515123	21.97748191	965.442784	40	0.007293647	0.00178107	0	0.001487868	0	0	0.001034405	2.7317E-05	0	0	0	0	0.035273195	0.023981578	0.000508548	0.083845758	0	0	0.021081463	0.107416027	0	0.000706601	0	0	0.042925982	0.002769947	0.003598563	0	0	0	0	0.000253138	0.008659499	0.002327411	0	0	0.139859554	0.192963861	0.002320126	0.022046665	0	0	0	0	0	0	0	0	0.033195188	0.004034741	0.020863149	0	0	0.157264988	0.010588108	0.061810482	0.01008112	0
849024	11	19	11	1103.23264	21.97192623	686.052345	40	0	0.000733784	0	0.000684315	0	0	0	0	0.000585378	0	0	0	0.013399708	0.017620858	0.010446111	0.071201485	0	0	0.017332843	0.128899772	0.078367632	0.000632491	0	0	0.006754815	0.00121198	0.023787313	0.004968057	0	0	0	0.001524103	0.00099526	0	0	0	0.065848551	0.189309136	0.124498247	0.015945368	0	0	0	0	0	0	0	0	0.001262087	0.000389677	0.068030578	0.001188417	0	0.013729628	0.026	0.095272228	0.019380178	0
20389	12	15	12	894.7210325	22.59489682	325.279221	40	0	0	0	0	0	0	0	0	0	0	0	0	0.055618226	0.131296287	0	0.311393398	0.035558389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014959047	0.121045662	0	0.170582177	0.159546814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
527765	13	16	13	1076.758644	21.65170183	795.289935	40	0.000602541	0.000756018	0	0.0006537	0	0	0	0	0	0	0	0	0.006201624	0.040269019	0.037073859	0.11287813	0	0	0.007141436	0.154114047	0.165096208	0.003052495	0	0	0	0	0.000164846	0.000773071	0	0	0	0	0	0	0	0	0.032444364	0.275050449	0.124057109	0.032216991	0	0	0	0	0	0	0	0	0	0	0.000785938	0.002704001	0	0	3.49045E-05	0.003188776	0.000740474	0
417586	14	17	14	1026.957156	22.92746582	212.689863	40	0	0	0	0	0	0	0.001693064	0.000663336	0	0	0	0	0.014230549	0.086952509	0.008120634	0.05039441	0	0	0.05731514	0.294372896	0.064211923	0.003177789	0	0	0	0	0.001851116	0	0	0	0	0.001175806	0.00240669	0	0	0	0.078316802	0.207653034	0.097529611	0.006518418	0	0	0	0	0	0	0	0	2.75918E-05	0.002037854	0.006941316	0	0	0	0.0110537	0.003355813	0	0
3490	15	16	15	871.8086542	21.53516378	54.041631	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091976449	0	0.032030944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.816045845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035817247	0	0.024129514	0
10128	16	17	16	865.5377339	22.97375115	178.308658	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364533965	0	0.029719589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.559537915	0	0.046208531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
