date	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
1988-01-01	9.602849681	10.27730748	9.384194778	9.548	9.960552042	9.475828134	9.847115823	9.99874332	9.485950452	8.244603368	9.425144782	9.999	8.859781406	9.998628026	9.999	9.999	8.976740411	7.794855478	6.94550568	8.139172194	7.223668589	8.305	7.42524504	7.905180381	7.852916004	6.845188357	6.984107441	8.305	8.305	8.305	6.872194058	7.549219724	7.160288824	6.402	7.526243263	6.713034401	6.491566927	7.369863512	6.402	6.402	6.867020346	6.707757	6.774689137	6.402	6.731596055	6.71	0
1988-01-02	11.86711267	12.6407493	11.54808232	11.814	12.24631277	11.64935249	12.04222979	12.28651516	11.64769587	10.29195182	11.63183213	12.287	9.790165147	12.28629738	12.287	12.287	11.02947493	9.722904386	8.869179999	7.604612554	9.147556085	7.315	9.400075997	9.766575113	9.75401724	8.587970893	8.864947161	7.315	7.315	7.315	8.658369062	7.863813211	8.989849121	8.206	7.77151257	8.257586002	8.287238645	9.206488125	8.206	8.206	8.686695202	8.304599757	8.591251692	8.206	8.303990138	8.25	0
1988-01-03	1.326373944	1.643058332	1.441384205	1.265	1.517301253	1.458649639	1.63994051	1.5402852	1.571240575	1.340439374	1.50619072	1.54	1.241906126	1.540413305	1.54	1.54	1.443286962	1.283733254	1.307332669	0.993570424	1.285782238	0.935	1.342439301	1.271045302	1.296005482	1.235188357	1.193043798	0.935	0.935	0.935	1.262194058	1.051001231	1.171721091	1.078	1.015561042	1.103034401	1.111360177	1.19762358	1.078	1.078	1.135474427	1.12147501	1.124062702	1.078	1.121596055	1.1	0
1988-01-04	38.21191722	40.14295025	36.78147722	38.181	39.11372964	37.11385138	38.10927608	39.20160432	36.94334005	32.9245942	37.07890833	39.204	32.88906784	39.20052824	39.204	39.204	35.30709625	30.92775599	28.27682658	28.05301743	29.19740974	27.885	29.96551958	30.77048309	30.90107141	27.20220249	27.89706691	27.885	27.885	27.885	27.4435158	27.27300093	28.06013148	25.355	26.99882854	26.09541311	25.73869824	28.80777152	25.355	25.355	27.01392092	26.20583806	26.68453709	25.355	26.25086696	26.07	0
1988-01-05	3.085511157	3.478956635	3.136950685	3.025	3.317400034	3.172426556	3.361139619	3.34417112	3.027454222	1.879339382	2.849864218	3.344	1.980689353	3.344247983	3.344	3.344	2.471770974	1.946374584	0.652951003	0.38202838	1.057425493	0.165	1.108086495	2.754248462	2.196783088	1.456623496	2.044498297	0.165	0.165	0.165	1.270648958	1.011143514	2.86	2.86	1.212293542	2.290845344	2.568616677	2.86	2.86	2.86	2.860000023	2.208533636	2.86	2.86	2.173674902	2.31	0
1988-01-06	9.768300132	10.47291013	9.518613309	9.713	10.11528679	9.604881969	9.994479644	10.15262924	9.888485459	9.532073185	9.995232251	10.153	7.843191923	10.1524627	10.153	10.153	9.657651864	8.929052117	9.39654329	5.969537307	9.220331869	5.445	9.473847914	8.298957169	8.749638205	8.197231388	8.365109025	5.445	5.445	5.445	8.491457912	6.475222392	7.782525056	7.348	6.116342014	6.85091296	7.540043863	7.902618417	7.348	7.348	7.614472363	7.101150475	7.561563438	7.348	7.040009811	6.82	0
1988-01-07	7.28403714	7.889468312	7.134725767	7.227	7.609526068	7.211417365	7.577641198	7.6448574	7.493238421	7.210951349	7.550008094	7.645	6.943719609	7.644793348	7.645	7.645	7.391031126	6.673824369	7.177353152	6.836916002	7.018582785	6.875	7.218931291	5.959697112	6.499568087	6.251506857	5.636084045	6.875	6.875	6.875	6.481972046	6.304635381	4.96461041	4.07	6.042535902	5.194275208	4.518472457	5.211861446	4.07	4.07	4.618619481	5.265172666	4.509689431	4.07	5.34276844	5.17	0
1988-01-08	11.53711267	12.3107493	11.21808232	11.484	11.91631277	11.31911348	11.69498494	11.95651516	11.18267972	9.418619612	11.09667951	11.957	8.456519436	11.95629738	11.957	11.957	10.31988682	9.054073131	7.432611649	4.961139673	7.939640063	4.345	8.159092292	9.742243588	9.257312896	7.725826197	8.78601801	4.345	4.345	4.345	7.657853579	6.093181172	9.544943421	9.251	6.144196598	8.023172598	8.945708106	9.626183047	9.251	9.251	9.431260751	8.078833845	9.395469384	9.251	7.981408876	8.03	0
1988-01-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004233543	0	0	0	0	0	0.015550731	0.006102253	0	0.036526281	0	0	0	0	0	0.047179653	0.077	0	0	0.061867413	0.038937952	0.077	0.077	0.058712686	0.006385618	0.062343686	0.077	0	0	0
1988-01-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
