date	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
1988-01-01	0	0	0.26	1.7	1.7	0.22	1.19	1.7	1.19	2.06	1.7	1.7	0.22	1.7	1.7	1.7	1.7	2.06	2.81	1.48	2.81	1.48	2.81	0.73	0.73	3.08	2.06	1.48	1.48	1.48	3.08	1.48	2.25	2.25	1.78	1.78	2.25	2.25	2.25	2.25	2.25	1.78	2.25	2.25	1.78	1.78	1.78
1988-01-02	1.57	1.57	2.32	3.8	3.8	2.3	3.28	3.8	3.28	4.15	3.8	3.8	2.3	3.8	3.8	3.8	3.8	4.15	4.84	3.14	4.84	3.14	4.84	2.78	2.78	5.2	4.15	3.14	3.14	3.14	5.2	3.14	3.89	3.89	3.44	3.44	3.89	3.89	3.89	3.89	3.89	3.44	3.89	3.89	3.44	3.44	3.44
1988-01-03	-0.74	-0.74	0.07	1.5	1.5	0.02	1	1.5	1	1.86	1.5	1.5	0.02	1.5	1.5	1.5	1.5	1.86	2.61	1.15	2.61	1.15	2.61	0.54	0.54	2.88	1.86	1.15	1.15	1.15	2.88	1.15	1.92	1.92	1.45	1.45	1.92	1.92	1.92	1.92	1.92	1.45	1.92	1.92	1.45	1.45	1.45
1988-01-04	-1.75	-1.75	-0.91	0.6	0.6	-0.97	0.07	0.6	0.07	0.87	0.6	0.6	-0.97	0.6	0.6	0.6	0.6	0.87	1.62	0.29	1.62	0.29	1.62	-0.43	-0.43	1.87	0.87	0.29	0.29	0.29	1.87	0.29	1.06	1.06	0.59	0.59	1.06	1.06	1.06	1.06	1.06	0.59	1.06	1.06	0.59	0.59	0.59
1988-01-05	1.98	1.98	2.72	4.2	4.2	2.7	3.68	4.2	3.68	4.54	4.2	4.2	2.7	4.2	4.2	4.2	4.2	4.54	5.23	2.02	5.23	2.02	5.23	3.18	3.18	5.6	4.54	2.02	2.02	2.02	5.6	2.02	2.78	2.78	2.32	2.32	2.78	2.78	2.78	2.78	2.78	2.32	2.78	2.78	2.32	2.32	2.32
1988-01-06	4.09	4.09	4.78	6.2	6.2	4.78	5.69	6.2	5.69	6.63	6.2	6.2	4.78	6.2	6.2	6.2	6.2	6.63	7.31	0.46	7.31	0.46	7.31	5.23	5.23	7.72	6.63	0.46	0.46	0.46	7.72	0.46	1.23	1.23	0.76	0.76	1.23	1.23	1.23	1.23	1.23	0.76	1.23	1.23	0.76	0.76	0.76
1988-01-07	-2.85	-2.85	-1.99	-0.5	-0.5	-2.06	-1.02	-0.5	-1.02	-0.22	-0.5	-0.5	-2.06	-0.5	-0.5	-0.5	-0.5	-0.22	0.58	0.73	0.58	0.73	0.58	-1.51	-1.51	0.76	-0.22	0.73	0.73	0.73	0.76	0.73	1.5	1.5	1.03	1.03	1.5	1.5	1.5	1.5	1.5	1.03	1.5	1.5	1.03	1.03	1.03
1988-01-08	-4.67	-4.67	-3.76	-2.3	-2.3	-3.85	-2.81	-2.3	-2.81	-2.01	-2.3	-2.3	-3.85	-2.3	-2.3	-2.3	-2.3	-2.01	-1.19	-0.93	-1.19	-0.93	-1.19	-3.27	-3.27	-1.05	-2.01	-0.93	-0.93	-0.93	-1.05	-0.93	-0.15	-0.15	-0.63	-0.63	-0.15	-0.15	-0.15	-0.15	-0.15	-0.63	-0.15	-0.15	-0.63	-0.63	-0.63
1988-01-09	-6.47	-6.47	-5.52	-4.1	-4.1	-5.63	-4.59	-4.1	-4.59	-3.79	-4.1	-4.1	-5.63	-4.1	-4.1	-4.1	-4.1	-3.79	-2.98	-4.5	-2.98	-4.5	-2.98	-5.03	-5.03	-2.87	-3.79	-4.5	-4.5	-4.5	-2.87	-4.5	-3.69	-3.69	-4.2	-4.2	-3.69	-3.69	-3.69	-3.69	-3.69	-4.2	-3.69	-3.69	-4.2	-4.2	-4.2
1988-01-10	-6.87	-6.87	-5.91	-4.4	-4.4	-6.02	-4.92	-4.4	-4.92	-4.19	-4.4	-4.4	-6.02	-4.4	-4.4	-4.4	-4.4	-4.19	-3.37	-6.9	-3.37	-6.9	-3.37	-5.41	-5.41	-3.27	-4.19	-6.9	-6.9	-6.9	-3.27	-6.9	-6.07	-6.07	-6.6	-6.6	-6.07	-6.07	-6.07	-6.07	-6.07	-6.6	-6.07	-6.07	-6.6	-6.6	-6.6
1988-01-11	-5.57	-5.57	-4.64	-3.2	-3.2	-4.74	-3.7	-3.2	-3.7	-2.9	-3.2	-3.2	-4.74	-3.2	-3.2	-3.2	-3.2	-2.9	-2.08	-4.14	-2.08	-4.14	-2.08	-4.15	-4.15	-1.96	-2.9	-4.14	-4.14	-4.14	-1.96	-4.14	-3.33	-3.33	-3.84	-3.84	-3.33	-3.33	-3.33	-3.33	-3.33	-3.84	-3.33	-3.33	-3.84	-3.84	-3.84
1988-01-12	-5.26	-5.26	-4.34	-2.9	-2.9	-4.43	-3.4	-2.9	-3.4	-2.6	-2.9	-2.9	-4.43	-2.9	-2.9	-2.9	-2.9	-2.6	-1.79	-5.73	-1.79	-5.73	-1.79	-3.85	-3.85	-1.66	-2.6	-5.73	-5.73	-5.73	-1.66	-5.73	-4.91	-4.91	-5.43	-5.43	-4.91	-4.91	-4.91	-4.91	-4.91	-5.43	-4.91	-4.91	-5.43	-5.43	-5.43
1988-01-13	-1.85	-1.85	-1.01	0.5	0.5	-1.07	-0.03	0.5	-0.03	0.77	0.5	0.5	-1.07	0.5	0.5	0.5	0.5	0.77	1.52	-8.81	1.52	-8.81	1.52	-0.53	-0.53	1.77	0.77	-8.81	-8.81	-8.81	1.77	-8.81	-7.97	-7.97	-8.51	-8.51	-7.97	-7.97	-7.97	-7.97	-7.97	-8.51	-7.97	-7.97	-8.51	-8.51	-8.51
1988-01-14	1.17	1.17	1.93	3.4	3.4	1.9	2.88	3.4	2.88	3.75	3.4	3.4	1.9	3.4	3.4	3.4	3.4	3.75	4.49	-4.98	4.49	-4.98	4.49	2.4	2.4	4.79	3.75	-4.98	-4.98	-4.98	4.79	-4.98	-4.17	-4.17	-4.68	-4.68	-4.17	-4.17	-4.17	-4.17	-4.17	-4.68	-4.17	-4.17	-4.68	-4.68	-4.68
1988-01-15	-0.34	-0.34	0.46	1.9	1.9	0.42	1.39	1.9	1.39	2.26	1.9	1.9	0.42	1.9	1.9	1.9	1.9	2.26	3.01	-2.53	3.01	-2.53	3.01	0.93	0.93	3.28	2.26	-2.53	-2.53	-2.53	3.28	-2.53	-1.74	-1.74	-2.23	-2.23	-1.74	-1.74	-1.74	-1.74	-1.74	-2.23	-1.74	-1.74	-2.23	-2.23	-2.23
1988-01-16	-1.55	-1.55	-0.72	0.7	0.7	-0.77	0.2	0.7	0.2	1.07	0.7	0.7	-0.77	0.7	0.7	0.7	0.7	1.07	1.82	-3	1.82	-3	1.82	-0.24	-0.24	2.07	1.07	-3	-3	-3	2.07	-3	-2.2	-2.2	-2.7	-2.7	-2.2	-2.2	-2.2	-2.2	-2.2	-2.7	-2.2	-2.2	-2.7	-2.7	-2.7
1988-01-17	-1.95	-1.95	-1.11	0.4	0.4	-1.17	-0.13	0.4	-0.13	0.67	0.4	0.4	-1.17	0.4	0.4	0.4	0.4	0.67	1.42	-1.58	1.42	-1.58	1.42	-0.63	-0.63	1.67	0.67	-1.58	-1.58	-1.58	1.67	-1.58	-0.79	-0.79	-1.28	-1.28	-0.79	-0.79	-0.79	-0.79	-0.79	-1.28	-0.79	-0.79	-1.28	-1.28	-1.28
1988-01-18	-3.25	-3.25	-2.38	-0.9	-0.9	-2.45	-1.42	-0.9	-1.42	-0.62	-0.9	-0.9	-2.45	-0.9	-0.9	-0.9	-0.9	-0.62	0.19	-2.23	0.19	-2.23	0.19	-1.9	-1.9	0.36	-0.62	-2.23	-2.23	-2.23	0.36	-2.23	-1.44	-1.44	-1.93	-1.93	-1.44	-1.44	-1.44	-1.44	-1.44	-1.93	-1.44	-1.44	-1.93	-1.93	-1.93
1988-01-19	-0.14	-0.14	0.66	2.1	2.1	0.62	1.59	2.1	1.59	2.46	2.1	2.1	0.62	2.1	2.1	2.1	2.1	2.46	3.2	-4.09	3.2	-4.09	3.2	1.13	1.13	3.48	2.46	-4.09	-4.09	-4.09	3.48	-4.09	-3.28	-3.28	-3.79	-3.79	-3.28	-3.28	-3.28	-3.28	-3.28	-3.79	-3.28	-3.28	-3.79	-3.79	-3.79
1988-01-20	-0.74	-0.74	0.07	1.5	1.5	0.02	1	1.5	1	1.86	1.5	1.5	0.02	1.5	1.5	1.5	1.5	1.86	2.61	-4.71	2.61	-4.71	2.61	0.54	0.54	2.88	1.86	-4.71	-4.71	-4.71	2.88	-4.71	-3.9	-3.9	-4.41	-4.41	-3.9	-3.9	-3.9	-3.9	-3.9	-4.41	-3.9	-3.9	-4.41	-4.41	-4.41
1988-01-21	-4.97	-4.97	-4.05	-2.6	-2.6	-4.14	-3.1	-2.6	-3.1	-2.3	-2.6	-2.6	-4.14	-2.6	-2.6	-2.6	-2.6	-2.3	-1.49	-2.74	-1.49	-2.74	-1.49	-3.56	-3.56	-1.35	-2.3	-2.74	-2.74	-2.74	-1.35	-2.74	-1.94	-1.94	-2.44	-2.44	-1.94	-1.94	-1.94	-1.94	-1.94	-2.44	-1.94	-1.94	-2.44	-2.44	-2.44
1988-01-22	-3.46	-3.46	-2.58	-1.1	-1.1	-2.65	-1.62	-1.1	-1.62	-0.82	-1.1	-1.1	-2.65	-1.1	-1.1	-1.1	-1.1	-0.82	-0.01	-0.34	-0.01	-0.34	-0.01	-2.1	-2.1	0.16	-0.82	-0.34	-0.34	-0.34	0.16	-0.34	0.44	0.44	-0.04	-0.04	0.44	0.44	0.44	0.44	0.44	-0.04	0.44	0.44	-0.04	-0.04	-0.04
1988-01-23	-6.27	-6.27	-5.32	-3.9	-3.9	-5.42	-4.39	-3.9	-4.39	-3.59	-3.9	-3.9	-5.42	-3.9	-3.9	-3.9	-3.9	-3.59	-2.78	-2.46	-2.78	-2.46	-2.78	-4.83	-4.83	-2.67	-3.59	-2.46	-2.46	-2.46	-2.67	-2.46	-1.67	-1.67	-2.16	-2.16	-1.67	-1.67	-1.67	-1.67	-1.67	-2.16	-1.67	-1.67	-2.16	-2.16	-2.16
1988-01-24	-4.57	-4.57	-3.66	-2.2	-2.2	-3.75	-2.71	-2.2	-2.71	-1.91	-2.2	-2.2	-3.75	-2.2	-2.2	-2.2	-2.2	-1.91	-1.1	-2.72	-1.1	-2.72	-1.1	-3.17	-3.17	-0.95	-1.91	-2.72	-2.72	-2.72	-0.95	-2.72	-1.92	-1.92	-2.42	-2.42	-1.92	-1.92	-1.92	-1.92	-1.92	-2.42	-1.92	-1.92	-2.42	-2.42	-2.42
